全国都道府県市区町村別面積調,,,
24000,三重県,,,5774.48
24201,三重県,,津市,711.18
24202,三重県,,四日市市,206.5
24203,三重県,,伊勢市,208.37
24204,三重県,,松阪市,623.58
24205,三重県,,桑名市,136.65
24207,三重県,,鈴鹿市,194.46
24208,三重県,,名張市,129.77
24209,三重県,,尾鷲市,192.71
24210,三重県,,亀山市,191.04
24211,三重県,,鳥羽市,107.34
24212,三重県,,熊野市,373.35
24214,三重県,,いなべ市,219.83
24215,三重県,,志摩市,178.93
24216,三重県,,伊賀市,558.23
24300,三重県,桑名郡,,15.74
24303,三重県,桑名郡,木曽岬町,15.74
24320,三重県,員弁郡,,22.68
24324,三重県,員弁郡,東員町,22.68
24340,三重県,三重郡,,121.72
24341,三重県,三重郡,菰野町,107.01
24343,三重県,三重郡,朝日町,5.99
24344,三重県,三重郡,川越町,8.72
24440,三重県,多気郡,,506.98
24441,三重県,多気郡,多気町,103.06
24442,三重県,多気郡,明和町,41.06
24443,三重県,多気郡,大台町,362.86
24460,三重県,度会郡,,651.1
24461,三重県,度会郡,玉城町,40.91
24470,三重県,度会郡,度会町,134.98
24471,三重県,度会郡,大紀町,233.32
24472,三重県,度会郡,南伊勢町,241.89
24540,三重県,北牟婁郡,,256.55
24543,三重県,北牟婁郡,紀北町,256.55
24560,三重県,南牟婁郡,,167.75
24561,三重県,南牟婁郡,御浜町,88.13
24562,三重県,南牟婁郡,紀宝町,79.62
25000,滋賀県,,,4017.38
25201,滋賀県,,大津市,464.51
25202,滋賀県,,彦根市,196.87
25203,滋賀県,,長浜市,681.02
25204,滋賀県,,近江八幡市,177.45
25206,滋賀県,,草津市,67.82
25207,滋賀県,,守山市,55.73
25208,滋賀県,,栗東市,52.69
25209,滋賀県,,甲賀市,481.62
25210,滋賀県,,野洲市,80.15
25211,滋賀県,,湖南市,70.4
25212,滋賀県,,高島市,693.05
25213,滋賀県,,東近江市,388.37
25214,滋賀県,,米原市,250.39
25380,滋賀県,蒲生郡,,162.15
25383,滋賀県,蒲生郡,日野町,117.6
25384,滋賀県,蒲生郡,竜王町,44.55
25420,滋賀県,愛知郡,,37.97
